H,T,P,rho,a
0,288.15,101325.2,1.22505,340.29
1000,281.65,89875.8,1.11168,336.43
2000,275.15,79495.6,1.00646,332.53
3000,268.65,70108.7,0.90913,328.58
4000,262.15,61640.7,0.81013,324.58
5000,255.65,54019.9,0.73612,320.53
6000,249.15,47180.8,0.65969,316.43
7000,242.65,41060.4,0.5895,312.27
8000,236.15,35600.1,0.52517,308.06
9000,229.65,30742.9,0.46635,303.79
10000,223.15,26435.8,0.4127,299.46
11000,216.65,22631.8,0.36391,295.07
12000,216.65,19330.9,0.31083,295.07
13000,216.65,16510.5,0.26549,295.07
14000,216.65,14102,0.22675,295.07
15000,216.65,12044.5,0.19367,295.07
16000,216.65,10287.2,0.16542,295.07
17000,216.65,8786.7,0.14128,295.07
18000,216.65,7504.8,0.12068,295.07
19000,216.65,6410,0.10307,295.07
20000,216.65,5474.9,0.08803,295.07
21000,217.65,4677.9,0.07487,295.75
22000,218.65,3999.7,0.06373,296.43
23000,219.65,3422.4,0.05428,297.11
24000,220.65,2930.5,0.04627,297.78
25000,221.65,2511,0.03946,298.46
26000,222.65,2133.1,0.03369,299.13
27000,223.65,1847.4,0.02878,299.8
28000,224.65,1586.3,0.02469,300.47
29000,225.65,1362.9,0.02104,301.14
30000,226.65,1171.9,0.01801,301.8
31000,227.65,1008.2,0.01548,302.47
32000,228.65,868,0.01323,303.13
